Stolica Francji?;Paryż
Ile kontynentów jest na Ziemi?;7
Największa planeta Układu Słonecznego?;Jowisz
W którym roku wybuchła II Wojna Światowa?;1939
Kto napisał "Pana Tadeusza"?;Adam Mickiewicz
Pierwiastek chemiczny o symbolu Au?;Złoto
Najdłuższa rzeka świata?;Nil
W jakim kraju leży wieża Eiffla?;Francja
Ile wynosi suma kątów w trójkącie?;180 stopni
Która planeta jest najbliżej Słońca?;Merkury
Jak nazywa się stolica Polski?;Warszawa
Kto namalował Monę Lisę?;Leonardo da Vinci
Najwyższy szczyt świata?;Mount Everest
W którym roku Polska przyjęła chrzest?;966
Ile nóg ma pająk?;8
Jaki gaz jest niezbędny do oddychania?;Tlen
W jakim mieście znajduje się Wawel?;Kraków
Kto był pierwszym królem Polski?;Bolesław Chrobry
Największy ssak na świecie?;Płetwal błękitny
Główny składnik słońca?;Wodór
Jak nazywa się waluta w Japonii?;Jen
Który ocean jest największy?;Spokojny
Ile dni ma rok przestępny?;366
Stolica Niemiec?;Berlin
Kto odkrył Amerykę w 1492 roku?;Krzysztof Kolumb
Z ilu graczy składa się drużyna piłkarska?;11
Który instrument ma białe i czarne klawisze?;Pianino
Jak nazywa się proces odżywiania roślin?;Fotosynteza
W jakim kraju narodziły się Igrzyska Olimpijskie?;Grecja
Najtwardszy minerał występujący w przyrodzie?;Diament
